Country,Year,Food Types,Total Waste in Tons,Food Economic Loss (Million $),Avg Waste per Capita (Kg),Country Population (Million) (Not Accurate),Household Waste (%)
Brazil,2019,Dairy Products,8646.04,10179.33,132.05,73.19,34.38
UK,2021,Beverages,41619.64,44143.49,72.03,108.81,47.02
UK,2020,Bakery Items,10908.22,11660.55,45.21,567.83,31.92
Saudi Arabia,2022,Grains & Cereals,42281.31,42664.53,35.36,994.35,49.71
Germany,2020,Fruits & Vegetables,1474.15,1540.57,196.14,105.89,58.28
UK,2018,Meat & Seafood,5636.3,5593.44,34.72,911.69,58.77
Turkey,2020,Meat & Seafood,23475.18,20967.94,44.9,333.9,46.26
Russia,2019,Fruits & Vegetables,27030.65,27392.4,169.05,919.96,51.55
India,2023,Meat & Seafood,43446.92,47096.44,35.45,16.15,54.82
South Africa,2019,Grains & Cereals,34585.58,33098.13,132.07,1354.57,34.25
South Africa,2020,Beverages,20690.04,17002.44,92.56,1201.73,60.67
Australia,2023,Bakery Items,35899.52,36123.81,127.57,503.69,64.55
China,2024,Dairy Products,41094.36,42324.94,81.2,760.09,61.26
USA,2022,Bakery Items,48642.96,50037.63,57.61,1105.55,51.9
USA,2020,Dairy Products,10517.37,11093.88,77.33,65.06,64.77
USA,2020,Dairy Products,19143.4,18627.53,199.02,544.66,39.94
Saudi Arabia,2023,Prepared Food,31798.5,27380.38,45.11,462.38,31.35
Germany,2018,Beverages,6860.69,7700.46,104.38,495.94,54.16
Brazil,2018,Beverages,49122.58,51296.9,99.49,539.04,63.8
Canada,2020,Bakery Items,40262.79,41152.89,58.15,816.23,52.71
Germany,2022,Beverages,14791.28,16497.72,159.67,667.57,58.89
Turkey,2023,Frozen Food,6743.26,6479.62,55.33,1118.23,44.54
USA,2019,Dairy Products,4194.06,3640.51,187.66,337.53,48.65
Spain,2023,Beverages,46787.67,50857,53.42,663.44,69.02
Argentina,2024,Fruits & Vegetables,34377.5,29795.03,119.44,790.96,30.6
Turkey,2023,Bakery Items,23215.07,23317.07,195.51,669.66,35.83
Turkey,2022,Prepared Food,43199.69,47597.87,60.43,1077.09,51.84
UK,2023,Bakery Items,8030.17,7356.13,76.42,454.39,50.03
Japan,2021,Bakery Items,6814.57,6646.62,55.24,336.87,31.51
France,2024,Bakery Items,3959.24,4269.63,107.29,987.09,33.89
Saudi Arabia,2024,Meat & Seafood,7049.17,7695.97,136.52,643.09,41.24
Italy,2019,Grains & Cereals,4927.29,5656.69,114.23,405.74,67.03
Australia,2021,Grains & Cereals,38211,45495.03,181.25,1369.27,40.3
South Korea,2024,Dairy Products,5058.24,4824.18,144.75,1382.05,63.4
Brazil,2022,Prepared Food,36132.58,36878.62,116.97,999.12,37.92
Canada,2020,Bakery Items,578.58,646.46,94.43,534.07,37.47
UK,2021,Fruits & Vegetables,24046.92,22580.75,46.84,26.69,36.81
Japan,2024,Beverages,40854.18,40444.58,68.81,47.02,49.97
Indonesia,2023,Beverages,32931.8,37000.2,24.98,358.18,44.08
South Africa,2024,Grains & Cereals,23137.63,27294.6,173.68,808.33,34.76
Argentina,2021,Beverages,3088.35,2809.98,179.07,391.35,42.48
Italy,2023,Fruits & Vegetables,31130.27,36622.71,139.05,415.19,60.61
Brazil,2019,Fruits & Vegetables,31515.32,37428.53,179.92,1274.45,36.63
India,2018,Bakery Items,41159.8,38825.97,81.6,835.23,31.24
Canada,2022,Dairy Products,40267.47,39933.88,171.17,844.93,42.93
Mexico,2019,Dairy Products,20750.01,20032.02,32.25,960.19,47.99
China,2019,Bakery Items,8381.26,7150.57,132.06,1307.9,37.53
Saudi Arabia,2022,Grains & Cereals,25689.2,27161.16,190.25,722.25,41.02
Brazil,2020,Prepared Food,15808.38,16825.54,194.85,1098,33.16
South Africa,2022,Meat & Seafood,3751.19,3403.5,112.55,600.38,69.47
Argentina,2020,Prepared Food,15333.15,13655.73,32.53,599.9,65.49
Australia,2020,Fruits & Vegetables,45456.99,47399.77,105.52,897.68,54.38
USA,2022,Meat & Seafood,12712.22,11265.97,31.29,1167.45,48.77
Argentina,2019,Grains & Cereals,48904.89,57120.77,186.51,94.54,35.42
Turkey,2018,Fruits & Vegetables,38921.02,38773.26,130.39,1205.11,60.75
Canada,2024,Meat & Seafood,6167.66,6479.29,165.44,1190.31,62.48
Japan,2020,Prepared Food,3471.38,3642.06,162.64,1201.95,52.96
Saudi Arabia,2020,Grains & Cereals,36432.74,38640.08,160.6,790.29,42.47
South Korea,2019,Frozen Food,19231.85,16773.79,70.91,1235.48,56.95
South Korea,2018,Bakery Items,4198.48,4740.46,183.39,802.23,56.39
South Korea,2019,Frozen Food,48375.92,54885.58,111.57,87.25,41.21
Russia,2020,Frozen Food,23721,27890.37,55.83,308.82,69.52
Spain,2022,Fruits & Vegetables,49893.96,42739.19,123.54,446.97,62.03
France,2023,Grains & Cereals,42544.59,39659.69,97.09,58.21,65.41
France,2023,Bakery Items,15275.97,13016.74,39.68,640.22,60.68
Australia,2021,Meat & Seafood,3714.44,3261.31,170.97,232.56,37.18
France,2022,Dairy Products,739.5,763.45,172.65,673.21,59.47
Turkey,2021,Meat & Seafood,32933.1,26687.76,174.87,367.32,45.48
USA,2018,Grains & Cereals,25308.57,30171.15,66.16,1015.59,34.48
Italy,2022,Prepared Food,16593.43,16794.72,40,18.13,58.34
South Africa,2019,Bakery Items,49576.05,40382.72,104.51,173.02,44.08
India,2020,Dairy Products,4364.47,4652.61,169.33,267.81,51.78
Brazil,2021,Prepared Food,24385.74,25811.86,54.04,1061.4,65.2
France,2023,Dairy Products,16869.71,14181.75,157.22,874.04,37.1
Brazil,2023,Meat & Seafood,21397.48,18490.31,177.98,956.45,45.71
South Korea,2019,Fruits & Vegetables,39896.88,34365.58,92.78,744.95,69.4
South Africa,2018,Grains & Cereals,11229.86,9641.07,175.21,831.35,31.32
Spain,2023,Frozen Food,9716.22,10604.28,149.42,963.75,41.6
China,2024,Frozen Food,30243.94,26197.12,171.54,863.36,45.77
Japan,2021,Grains & Cereals,3818.33,4240.41,59.44,97.08,36.57
Germany,2020,Grains & Cereals,35940.67,41777.45,65.48,904.28,60.65
Canada,2021,Beverages,4959.43,4817.6,155.89,774.03,43.28
UK,2020,Dairy Products,20329.78,17755.81,62.5,51.24,67.45
Argentina,2021,Grains & Cereals,44554.11,53406.23,169.72,666.78,51.47
South Korea,2022,Beverages,31835.4,33619.04,186.04,1085.21,40.81
Germany,2023,Beverages,35643.89,41185.44,65.93,1062.33,32.18
Spain,2019,Fruits & Vegetables,16133.76,15262.81,129.2,515.2,49.9
Italy,2021,Grains & Cereals,1709.16,1961.3,194.1,244.01,30.41
South Korea,2023,Fruits & Vegetables,41482.57,46333.09,121.92,244.71,61.46
Indonesia,2021,Fruits & Vegetables,46273.76,53925.1,65.3,536.6,48.94
China,2024,Fruits & Vegetables,31630.65,36217.51,181.08,270.32,56.04
Australia,2018,Frozen Food,3623.19,3779.23,164.96,1266.09,45.77
Australia,2018,Frozen Food,46482.1,55692.74,112.9,235.89,35.11
South Korea,2024,Dairy Products,7654.24,8374.5,40.54,850.74,60.9
South Korea,2020,Beverages,46944.56,50437.65,151.66,164.41,33.77
Argentina,2020,Prepared Food,8933.08,8058.58,118.63,96.65,64.56
Germany,2021,Meat & Seafood,49843.31,53122.46,182.65,1184.54,34.76
Mexico,2021,Beverages,1504.09,1538.77,141.39,286.04,36.2
UK,2021,Frozen Food,47308.57,48088.55,86.74,839.06,60.22
India,2020,Meat & Seafood,27939.53,25519.13,85.87,1253.46,37.58
Spain,2018,Prepared Food,13854.47,15117.89,103.59,83.38,67.81
China,2018,Grains & Cereals,38417.13,34206.81,41.04,807.66,41.01
South Korea,2023,Frozen Food,38328.79,41982.15,32.63,785.91,57.74
Indonesia,2024,Dairy Products,42665.84,50088.64,158.69,661.13,47.57
Saudi Arabia,2022,Dairy Products,37587.48,37984.64,60.13,361.08,43.27
Canada,2018,Prepared Food,44840.34,52923.07,161.21,48.84,45.78
Italy,2020,Fruits & Vegetables,14928.8,16120.56,34.49,1182.34,48.13
Argentina,2019,Prepared Food,48827.14,47821.6,195.5,397.41,64.7
India,2023,Beverages,41053.02,45487.65,157.25,886.32,57.9
Japan,2022,Frozen Food,47284.74,54679.88,86.66,891.21,34.15
Brazil,2019,Frozen Food,21011.84,17190.44,179.55,253.71,34.29
Spain,2024,Fruits & Vegetables,47975.09,57145.29,197.07,1192.25,37.85
USA,2021,Prepared Food,9749.6,8533.14,88.77,1321.24,49.88
China,2022,Frozen Food,19970.98,20997.66,100.95,180.09,57.56
Italy,2018,Bakery Items,28264.6,26586.74,131.87,734.56,38.27
Canada,2020,Beverages,14149.17,13279.14,39.32,775.43,44.02
Canada,2020,Fruits & Vegetables,16677.83,19617.08,150.27,225.48,39.84
Japan,2019,Bakery Items,33127.97,33984.19,116.88,396.48,37.8
Italy,2023,Grains & Cereals,49823.95,57142.48,59.49,1028.07,64.88
France,2020,Frozen Food,35800,38746.59,63.99,1012.24,40.61
South Korea,2020,Meat & Seafood,39534.3,35806.77,29.72,1114.18,38.17
UK,2021,Beverages,44741.46,52445.59,54.59,960.74,64.43
Russia,2018,Meat & Seafood,5566.38,6572.58,177.5,113.24,48.79
China,2023,Frozen Food,47358.87,41016.65,172.4,829.62,34.05
Australia,2022,Prepared Food,6445.46,6889.42,168.41,300.61,45.14
Indonesia,2022,Prepared Food,10489.55,11668.87,116.66,1379.49,66.13
UK,2019,Bakery Items,27231.36,25786.68,164.63,735.45,59.54
Russia,2020,Dairy Products,20868.28,22147.11,176.22,932.41,53.02
India,2018,Meat & Seafood,48231.23,51550.44,63.65,1354.85,49.11
Japan,2020,Beverages,25634.29,28608.02,91.48,976.84,51.63
UK,2024,Dairy Products,47696.15,42730.6,29.76,1149.91,35.22
China,2019,Meat & Seafood,7525.2,7500.46,56.25,573.65,61.63
Spain,2022,Beverages,16295.06,15742.71,194.26,1005.63,32.61
South Korea,2019,Dairy Products,48254.61,55699.76,47.58,1112.73,32.38
South Africa,2018,Meat & Seafood,9673.67,10064.78,140.33,977.59,40.76
Argentina,2024,Fruits & Vegetables,27091.6,29279.15,138.61,1150.97,46.48
Brazil,2021,Frozen Food,24720.56,27802.44,134.46,607.91,39.2
China,2021,Meat & Seafood,15173.36,16088.2,145,536.59,59.83
Saudi Arabia,2023,Frozen Food,16959.33,16228.69,62.9,515.74,58.05
Spain,2018,Fruits & Vegetables,22685.51,26055.96,116.34,306.19,31.21
Brazil,2024,Frozen Food,31823.4,32839.68,82.47,1080.81,57.03
Turkey,2020,Fruits & Vegetables,26312.28,28731.45,129.82,1184.85,59.89
South Korea,2024,Prepared Food,12463.29,14521.65,110.45,1200.44,64.35
USA,2019,Bakery Items,13335.53,15984.75,52.08,318.89,43.42
France,2023,Grains & Cereals,13851.18,11430.7,119.26,1157.56,52.12
USA,2024,Meat & Seafood,13285.19,14486.71,82.34,310.96,40.72
Argentina,2022,Dairy Products,11936.85,13402.52,137.37,74.28,63.35
Canada,2024,Fruits & Vegetables,28461.83,24132.13,86.06,1246.6,56.4
Mexico,2024,Prepared Food,32998.71,31325.02,49.89,868.78,59.66
China,2018,Fruits & Vegetables,18784.36,19388.71,80.73,123.56,62.07
China,2020,Bakery Items,11226.72,9121.44,166.54,42.39,60.61
France,2024,Fruits & Vegetables,39609.6,33231.19,64.46,855.57,46.09
Brazil,2020,Grains & Cereals,32669.75,37578.41,112.89,240.33,57.24
Spain,2020,Frozen Food,4595.08,3780.96,28.93,517.12,59.09
Indonesia,2020,Prepared Food,26344.41,21515.45,52.9,1322.82,35.15
Saudi Arabia,2023,Meat & Seafood,27318.34,25841.38,35.52,339.53,57.15
Russia,2023,Meat & Seafood,37886.84,41860.68,129.59,657.36,31.69
Indonesia,2024,Bakery Items,2225.09,1836.76,104.14,1157.3,62.86
Mexico,2022,Meat & Seafood,3703.66,3078.03,160.61,657.65,36.48
Indonesia,2020,Frozen Food,41783.18,41756.91,139.1,1169.66,40.7
Brazil,2020,Prepared Food,44433.25,44849.49,150.83,1127.17,61.27
Spain,2018,Prepared Food,12950.96,11413.42,31.78,174.12,40.12
Germany,2019,Dairy Products,21322.29,21219.75,142.93,72.54,44.11
Indonesia,2022,Beverages,30712.33,35453.71,84.58,1152.47,47.68
France,2024,Dairy Products,10300.52,11104.21,62.1,1315.28,49.86
South Korea,2021,Grains & Cereals,29871.2,31874.06,58.5,849.27,58.85
South Korea,2021,Beverages,3774.42,4430.59,159.63,504.93,54.43
India,2019,Grains & Cereals,16766,18496.75,132.32,98.92,31.95
Japan,2019,Grains & Cereals,3285.83,2642.49,30.27,1010.38,40.88
South Korea,2022,Dairy Products,30609.13,26741.35,87.04,231.66,42.59
Argentina,2019,Frozen Food,20490.36,18726.21,106.77,336.01,51.59
USA,2020,Beverages,36826.44,42048.9,150.4,516.02,55.32
Italy,2021,Meat & Seafood,12148.41,12962.53,113.06,423.76,66.6
Saudi Arabia,2019,Dairy Products,26723.91,22010.24,87.54,766.34,51.54
India,2021,Fruits & Vegetables,20385.31,21467.14,134.21,856.05,44.38
USA,2024,Prepared Food,9272.98,10324.97,182.31,675.39,46.24
Australia,2021,Dairy Products,34325.04,33080.21,80.55,826.63,48.29
France,2018,Grains & Cereals,23329.02,19639.5,138.91,1303.16,65.34
Spain,2019,Frozen Food,27999.24,24345.31,35.5,321.39,41.14
India,2019,Fruits & Vegetables,10668.39,10113.76,78.36,709.22,42.08
China,2018,Frozen Food,6216.13,7024.47,129.81,800.63,34.28
Australia,2022,Meat & Seafood,25947.66,23899.18,48.07,469.91,62.42
South Africa,2019,Frozen Food,8209.84,7556.2,21.33,420.85,41.05
Argentina,2022,Fruits & Vegetables,43281.08,38481.97,187.09,1109.48,30.44
Mexico,2021,Grains & Cereals,15742.16,17297.58,100.01,136.09,66.2
Russia,2020,Prepared Food,19747.12,19112.57,167.79,1170,40.15
Turkey,2024,Grains & Cereals,10668.1,9622.69,102.58,737.64,58.15
China,2019,Grains & Cereals,24674.19,28985.24,172.4,393.27,52.71
Argentina,2023,Grains & Cereals,8416.1,6929.97,126.12,830.43,66.51
Italy,2023,Bakery Items,5158.83,5533.23,187.33,954.11,51.57
USA,2024,Dairy Products,2512.68,2273.25,183.28,820.54,67.48
Germany,2020,Fruits & Vegetables,41105.94,47590.19,54.75,720.5,37.33
Argentina,2021,Bakery Items,32589.23,36377.68,173.23,135.79,33.81
Brazil,2021,Bakery Items,19203.37,19148.46,174.87,1258.25,34.3
South Africa,2018,Fruits & Vegetables,48569.06,50526.39,111.18,775.09,30.09
Japan,2018,Beverages,23990.63,25812.35,158.8,628.05,57.98
Spain,2020,Grains & Cereals,31991.72,31110.65,89.08,304.88,59.68
Italy,2019,Prepared Food,3007.77,2560.49,109.09,1312.13,39.5
Spain,2023,Bakery Items,26866.42,29648.63,171.62,1242.59,65.29
Turkey,2021,Fruits & Vegetables,41913.3,38652.18,30.71,82.09,66
South Korea,2018,Grains & Cereals,35789.49,40299.58,119.33,257.85,44.35
Italy,2021,Grains & Cereals,40825.3,44057.3,158.6,391.2,37.02
Mexico,2020,Frozen Food,33829.34,37634.44,58.46,964.99,54.42
Russia,2018,Grains & Cereals,33169.17,31095.77,88.57,797.67,30.79
India,2019,Frozen Food,40010.99,42792.66,87.37,831.94,37.69
UK,2019,Bakery Items,11188.67,9813.62,100.52,623.46,55.86
Mexico,2022,Meat & Seafood,49188.61,44353.01,164.75,659.02,63.83
Canada,2022,Dairy Products,8075.18,9515,192.64,552.09,62.82
Canada,2023,Frozen Food,10961.77,12576.03,176.8,977.68,32.32
Brazil,2022,Bakery Items,37256.43,39190.01,38.82,1199.92,59.66
Brazil,2018,Fruits & Vegetables,49446.48,52898.91,46.3,1013.71,35.07
Germany,2022,Dairy Products,740.99,831.86,53.1,1360.46,33.61
Brazil,2018,Grains & Cereals,2436.5,2216.85,61.08,908.5,60.28
Argentina,2018,Prepared Food,11181.65,13164.79,122.54,40.62,33.98
UK,2022,Dairy Products,49529.61,52776.18,118.72,903.19,41.13
South Korea,2019,Frozen Food,31383.34,36151.6,66.73,1204.84,33.69
Spain,2018,Beverages,26441.53,27000.75,103.49,425.03,38.32
China,2018,Dairy Products,9960.73,11541.31,70.91,981.92,60.93
Canada,2022,Dairy Products,25268.13,22719.63,60.51,352.62,32.32
Russia,2019,Dairy Products,3732.53,4168.82,113.6,1019.37,56.76
France,2018,Bakery Items,13444.76,14984.01,163.9,511.76,51.04
Mexico,2022,Fruits & Vegetables,42384.09,36474.21,67.16,943.85,54.9
Indonesia,2019,Beverages,23745.49,20351.51,20.09,60.25,68.29
Russia,2024,Meat & Seafood,7620.64,8232.41,175.09,1322.56,61.92
USA,2018,Frozen Food,46203.29,51020.59,64.26,1231.34,59.36
Argentina,2022,Fruits & Vegetables,49520.12,43991.89,53.18,1390.46,30.72
India,2020,Prepared Food,5505.18,6279.76,37.04,742.35,62.9
China,2020,Fruits & Vegetables,28052.23,32720.64,142.25,416.66,42.46
Japan,2023,Beverages,36013.66,34055.43,28.84,1218.87,45.61
India,2020,Dairy Products,32563.44,33379,36.13,1181.29,33.99
Mexico,2019,Beverages,8970.53,10242.07,51.07,118.38,38.04
South Korea,2018,Prepared Food,8375.59,9834.62,174.41,103.26,54.9
Canada,2023,Grains & Cereals,42828.76,44223.92,108.41,1372.05,39.46
Mexico,2018,Prepared Food,11621.64,13270.71,172.63,1099.3,40.96
Canada,2024,Dairy Products,47299.18,47088.76,69.3,1087.99,50.75
Turkey,2018,Bakery Items,32067.33,35582.94,67.69,1068.74,57.59
Turkey,2020,Beverages,20253.99,19827.79,141.59,1243.45,56.42
Russia,2021,Bakery Items,16436.49,13228.23,189.1,833.92,65.99
Canada,2020,Fruits & Vegetables,7871.05,6643.78,69.87,451.84,43.88
Canada,2021,Dairy Products,17352.04,19072.79,125.83,622.35,62.97
